movie title,gross total,max theaters,opening weekend gross,release date,distributor,score,running time min,genres,production budget
How the Grinch Stole Christmas,260044825,3256,55082330,2000/11/17,Universal Pictures,4.4,105,"['Comedy', 'Fantasy', 'Kids']",123000000
Cast Away,233632142,3061,28883406,2000/12/22,Twentieth Century Fox,7.2,143,"['Adventure', 'Drama']",85000000
Mission: Impossible II,215409889,3669,57845297,2000/05/24,Paramount Pictures,,,[],85000000
Gladiator,187705427,3188,34819017,2000/05/5,DreamWorks Distribution,6.1,98,['Action'],103000000
What Women Want,182811707,3092,33614543,2000/12/15,Paramount Pictures,5.3,130,"['Romance', 'Comedy']",65000000
The Perfect Storm,182618434,3407,41325042,2000/06/30,Warner Bros.,5.6,129,"['Adventure', 'Drama']",120000000
Meet the Parents,166244045,2697,28623300,2000/10/6,Universal Pictures,,75,['Comedy'],55000000
X-Men,157299718,3112,54471475,2000/07/14,Twentieth Century Fox,6.5,96,"['Sci-Fi', 'Fantasy', 'Action', 'Thriller']",75000000
Scary Movie,157019771,3301,42346669,2000/07/7,Miramax,5.2,88,"['Comedy', 'Horror']",19000000
What Lies Beneath,155464351,2925,29702959,2000/07/21,DreamWorks Distribution,6,123,"['Mystery', 'Horror']",90000000
Dinosaur,137748063,3319,38854851,2000/05/19,Walt Disney Studios Motion Pictures,,114,['Drama'],127500000
Erin Brockovich,125595205,3070,28138465,2000/03/17,Universal Pictures,6.5,131,['Drama'],50000000
Charlie's Angels,125305545,3037,40128550,2000/11/3,Sony Pictures Entertainment (SPE),3.9,118,"['Action', 'Thriller', 'Comedy']",90000000
Nutty Professor II: The Klumps,123309890,3251,42518830,2000/07/28,Universal Pictures,3.5,106,"['Comedy', 'Fantasy']",84000000
Big Momma's House,117559438,2854,25661041,2000/06/2,Twentieth Century Fox,4.1,97,"['Comedy', 'Action']",33000000
Remember the Titans,115654751,2803,20905831,2000/09/29,Walt Disney Studios Motion Pictures,6.9,113,['Drama'],30000000
The Patriot,113330342,3061,22413710,2000/06/28,Sony Pictures Entertainment (SPE),,88,['Action'],110000000
Chicken Run,106834564,2953,17506162,2000/06/23,DreamWorks Distribution,6.5,84,"['Animation', 'Adventure', 'Comedy']",42000000
Miss Congeniality,106807667,2668,10046534,2000/12/22,Warner Bros.,4.2,105,"['Comedy', 'Action']",45000000
Gone in 60 Seconds,101648571,3089,25336048,2000/06/9,Walt Disney Studios Motion Pictures,6.2,98,['Action'],103300000
Unbreakable,95011339,2708,30330771,2000/11/22,Walt Disney Studios Motion Pictures,,119,"['Drama', 'Romance']",73243106
Me Myself & Irene,90570999,3087,24209385,2000/06/23,Twentieth Century Fox,5.5,117,['Comedy'],73243106
Space Cowboys,90464773,2835,18093776,2000/08/4,Warner Bros.,5.7,123,"['Adventure', 'Drama']",65000000
The Emperor's New Groove,89302687,2887,9812302,2000/12/15,Walt Disney Studios Motion Pictures,6.2,78,"['Animation', 'Kids', 'Comedy', 'Fantasy']",100000000
Scream 3,89143175,3467,34713342,2000/02/4,Dimension Films,4.4,116,['Horror'],40000000
U-571,77122415,2820,19553310,2000/04/21,Universal Pictures,6.2,116,"['War', 'Mystery']",62000000
Rugrats in Paris,76507756,2937,22718184,2000/11/17,Paramount Pictures,4.9,78,"['Animation', 'Comedy', 'Kids', 'Adventure']",30000000
The Family Man,75793305,2441,10554960,2000/12/22,Universal Pictures,5.8,120,"['Drama', 'Comedy']",60000000
Hollow Man,73209340,2956,26414386,2000/08/4,Sony Pictures Entertainment (SPE),4.8,114,"['Sci-Fi', 'Thriller', 'Horror']",90000000
Shaft,70334258,2433,21714757,2000/06/16,Paramount Pictures,6,100,"['Action', 'Thriller']",53012938
The Kid,69691949,2343,12687726,2000/07/7,Walt Disney Studios Motion Pictures,8.4,68,"['Comedy', 'Drama']",65000000
Vertical Limit,69243859,2602,15507845,2000/12/8,Sony Pictures Entertainment (SPE),5.2,126,['Adventure'],75000000
Road Trip,68540777,2654,15484004,2000/05/19,DreamWorks Distribution,5.3,94,['Comedy'],16000000
Bring It On,68379000,2466,17362105,2000/08/25,Universal Pictures,4.3,105,['Comedy'],10000000
