movie_title,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
The Avengers,623357910,4349,207438708,2012/05/4,3.0,89,225000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,448139099,4404,160887295,2012/07/20,7.5,164,230000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Hunger Games,408010692,4137,152535747,2012/03/23,6.2,143,80000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Skyfall,304360277,3526,88364714,2012/11/9,6.6,143,200000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hobbit: An Unexpected Journey,303003568,4100,84617303,2012/12/14,7.0,170,200000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,262030663,4318,62004688,2012/07/3,5.8,136,220000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Brave,237283207,4164,66323594,2012/06/22,6.5,90,185000000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ted,218815487,3303,54415205,2012/06/29,5.5,106,50000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Madagascar 3: Europe's Most Wanted,216391482,4263,60316738,2012/06/8,5.8,85,145000000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wreck-It Ralph,189422889,3752,49038712,2012/11/2,6.9,101,165000000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lincoln,182207973,2293,944308,2012/11/16,6.3,149,65000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black 3,179020854,4248,54592779,2012/05/25,5.7,106,215000000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Django Unchained,162805434,3012,30122888,2012/12/25,7.9,165,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snow White and the Huntsman,155332381,3777,56217700,2012/06/1,5.3,127,170000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Les Misérables,148809770,2927,27281735,2012/12/25,7.2,102,65000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hotel Transylvania,148313048,3375,42522194,2012/09/28,6.0,91,85000000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Taken 2,139854287,3706,49514769,2012/10/5,5.4,91,45000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21 Jump Street,138447667,3148,36302612,2012/03/16,5.6,109,42000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argo,136025503,3247,19458109,2012/10/12,7.2,120,44500000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Silver Linings Playbook,132092958,2809,443003,2012/12/25,6.7,120,21000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Prometheus,126477084,3442,51050101,2012/06/8,5.7,123,125000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Life of Pi,124987023,2946,22451514,2012/11/21,7.1,127,120000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Magic Mike,113721571,3120,39127170,2012/06/29,5.1,110,7000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bourne Legacy,113203870,3753,38142825,2012/08/10,5.8,135,125000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journey 2: The Mysterious Island,103860290,3500,27335363,2012/02/10,4.3,94,79000000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Rise of the Guardians,103412758,3672,23773465,2012/11/21,6.4,97,145000000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flight,93772375,2638,24900566,2012/11/2,6.6,138,31000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Think Like a Man,91547205,2052,33636303,2012/04/20,5.1,123,12000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Campaign,86907746,3302,26588460,2012/08/10,5.0,85,95000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Expendables 2,85028192,3355,28591370,2012/08/17,5.9,102,100000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrath of the Titans,83670083,3545,33457188,2012/03/30,4.6,99,150000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jack Reacher,80070736,3352,15210156,2012/12/21,5.9,130,60000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dark Shadows,79727149,3755,29685274,2012/05/11,5.3,113,150000000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Parental Guidance,77267296,3368,14554053,2012/12/25,6.1,52,25000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Carter,73078100,3749,30180188,2012/03/9,5.4,132,263700000,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Act of Valor,70012847,3053,24476632,2012/02/24,5.0,111,12000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
This Is 40,67544505,2931,11579175,2012/12/21,5.4,134,35000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contraband,66528000,2870,24349815,2012/01/13,6.8,92,25000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Looper,66486205,2993,20801552,2012/09/28,6.6,118,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battleship,65422625,3702,25534825,2012/05/18,4.5,131,220000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Pitch Perfect,65001093,2787,5149433,2012/10/5,5.8,108,17000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirror Mirror,64935167,3618,18132085,2012/03/30,7.6,45,85000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Chronicle,64575175,2908,22004098,2012/02/3,6.2,83,12000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hope Springs,63536011,2441,14650121,2012/08/8,4.4,92,30000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Underworld: Awakening,62321039,3078,25306725,2012/01/20,5.1,85,70000000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Lucky One,60457138,3175,22518358,2012/04/20,5.1,101,25000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Dictator,59650222,3014,17435092,2012/05/16,5.4,83,65000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Recall,58877969,3601,25577758,2012/08/3,5.2,118,125000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Reunion,57011521,3203,21514080,2012/04/6,5.7,113,50000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaNorman,56003051,3455,14087050,2012/08/17,6.3,89,60000000,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
This Means War,54760791,3189,17405930,2012/02/17,4.9,98,65000000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Project X,54731865,3055,21051363,2012/03/2,5.6,97,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Woman in Black,54333290,2856,20874072,2012/02/3,5.5,95,15000000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Paranormal Activity 4,53885000,3412,29003866,2012/10/19,4.1,88,5000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Devil Inside,53261944,2551,33732515,2012/01/6,3.7,83,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Odd Life of Timothy Green,51854875,2717,10822903,2012/08/15,5.6,105,40000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ghost Rider: Spirit of Vengeance,51774002,3174,22115334,2012/02/17,3.3,95,57000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Grey,51580236,3208,19665101,2012/01/27,5.5,117,25000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Red Tails,49876377,2573,18782154,2012/01/20,5.4,125,58000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Possession,49130154,2860,17732480,2012/08/31,4.8,92,14000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Diary of a Wimpy Kid: Dog Days,49008662,3401,14623599,2012/08/3,5.1,94,22000000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sinister,48086903,2542,18007634,2012/10/12,5.9,110,3000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Savages,47382068,2635,16016910,2012/07/6,5.8,126,45000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Best Exotic Marigold Hotel,46412041,1298,737051,2012/05/25,6.2,124,10000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moonrise Kingdom,45512466,924,522996,2012/06/29,7.2,94,16000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Here Comes the Boom,45290318,3014,11816596,2012/10/12,4.9,105,42000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Dawn,44806783,2781,14276668,2012/11/21,5.9,29,65000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Artist,44671682,1756,204878,2012/01/20,7.6,100,16000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Three Stooges,44338224,3482,17010125,2012/04/13,3.9,92,30000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Evil: Retribution,42345531,3016,21052227,2012/09/14,4.0,95,65000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Cabin in the Woods,42073277,2811,14743614,2012/04/13,6.1,105,30000000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
What to Expect When You're Expecting,41152203,3021,10547068,2012/05/18,4.5,110,37500000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
End of Watch,41003371,2780,13152683,2012/09/21,6.4,109,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Rock of Ages,38518613,3470,14437269,2012/06/15,4.6,123,70000000,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Abraham Lincoln: Vampire Hunter,37519139,3109,16306974,2012/06/22,4.2,105,67500000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
