id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
0,The Avengers,6.0,95.0,3843.0,623357910,4349,207438708,2012/05/4,3.0,89,225000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,The Dark Knight Rises,2.0,9.0,2951.0,448139099,4404,160887295,2012/07/20,7.5,164,230000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,The Hunger Games,94.0,57.0,4261.0,408010692,4137,152535747,2012/03/23,6.2,143,80000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,Skyfall,4.0,61.0,1428.0,304360277,3526,88364714,2012/11/9,6.6,143,200000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,The Hobbit: An Unexpected Journey,0.0,3.0,1472.0,303003568,4100,84617303,2012/12/14,7.0,170,200000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,The Amazing Spider-Man,0.0,141.0,1337.0,262030663,4318,62004688,2012/07/3,5.8,136,220000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,Brave,8.0,156.0,1330.0,237283207,4164,66323594,2012/06/22,6.5,90,185000000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Ted,49.0,135.0,2792.0,218815487,3303,54415205,2012/06/29,5.5,106,50000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Madagascar 3: Europe's Most Wanted,0.0,5.0,1484.0,216391482,4263,60316738,2012/06/8,5.8,85,145000000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Wreck-It Ralph,0.0,13.0,1475.0,189422889,3752,49038712,2012/11/2,6.9,101,165000000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Lincoln,10.0,21.0,1458.0,182207973,2293,944308,2012/11/16,6.3,149,65000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Men in Black 3,1.0,3.0,1468.0,179020854,4248,54592779,2012/05/25,5.7,106,215000000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Django Unchained,4.0,28.0,1454.0,162805434,3012,30122888,2012/12/25,7.9,165,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Snow White and the Huntsman,0.0,0.0,0.0,155332381,3777,56217700,2012/06/1,5.3,127,170000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
